STATIONID,STATIONNAME,WALKING_TIME_MAX,WALKING_TIME_MIN,WALKING_TIME_AVER,DIRECTOR_E,TIME_TYPE,DATE_TYPE
150996015,平安里,136,43,85,出站,平峰,工作日
150996015,平安里,107,39,70,进站,全天,双休日
150996015,平安里,136,43,85,出站,全天,双休日
150996017,西四,52,10,31,进站,高峰,工作日
150996017,西四,103,22,63,出站,高峰,工作日
150996017,西四,54,17,34,进站,平峰,工作日
150996017,西四,68,25,45,出站,平峰,工作日
150996017,西四,54,17,34,进站,全天,双休日
150996017,西四,68,25,45,出站,全天,双休日
150996019,灵境胡同,52,10,31,进站,高峰,工作日
150996019,灵境胡同,103,22,62,出站,高峰,工作日
150996019,灵境胡同,107,39,70,进站,平峰,工作日
150996019,灵境胡同,136,43,85,出站,平峰,工作日
150996019,灵境胡同,107,39,70,进站,全天,双休日
150996019,灵境胡同,136,43,85,出站,全天,双休日
150996021,西单,173,81,128,进站,高峰,工作日
150996021,西单,112,58,85,出站,高峰,工作日
150996021,西单,149,71,110,进站,平峰,工作日
150996021,西单,144,43,95,出站,平峰,工作日
150996021,西单,149,71,110,进站,全天,双休日
150996021,西单,144,43,95,出站,全天,双休日
150996023,宣武门,327,62,180,进站,高峰,工作日
150996023,宣武门,214,45,123,出站,高峰,工作日
150996023,宣武门,228,34,126,进站,平峰,工作日
150996023,宣武门,184,54,114,出站,平峰,工作日
150996023,宣武门,228,34,126,进站,全天,双休日
150996023,宣武门,184,54,114,出站,全天,双休日
150996025,菜市口,52,10,31,进站,高峰,工作日
150996025,菜市口,103,22,62,出站,高峰,工作日
150996025,菜市口,107,39,70,进站,平峰,工作日
150996025,菜市口,136,43,85,出站,平峰,工作日
150996025,菜市口,107,39,70,进站,全天,双休日
